lattice_size,L,repeat,seed,T,burn_in_cycles,production_cycles,production_steps_recorded,acceptance_rate,E_per_spin,E2_per_spin2,M_per_spin,M2_per_spin2,abs_M_per_spin,C_per_spin,chi_per_spin
8x8,8,0,805000,0.25,300,700,44800,0.0,-2.0,4.0,1.0,1.0,1.0,0.0,0.0
8x8,8,0,805001,0.5,300,700,44800,0.0,-2.0,4.0,1.0,1.0,1.0,0.0,0.0
8x8,8,0,805002,0.75,300,700,44800,9.375e-05,-2.0,4.0,1.0,1.0,1.0,0.0,0.0
8x8,8,0,805003,1.0,300,700,44800,0.0008125,-1.998197544642857,3.9930154854910715,0.9995493861607143,0.9991128540039063,0.9995493861607143,0.014211716757046133,0.000888232297313607
8x8,8,0,805004,1.25,300,700,44800,0.00453125,-1.9813825334821429,3.928582327706473,0.9948005022321429,0.9899097987583705,0.9948005022321429,0.11082070910393668,0.014426087272795485
8x8,8,0,805005,1.5,300,700,44800,0.012609375,-1.9565862165178571,3.8342430768694196,0.9884144810267858,0.9774267360142299,0.9884144810267858,0.17104936396107304,0.019778120993265702
8x8,8,0,805006,1.75,300,700,44800,0.0341875,-1.8786314174107144,3.5491107177734373,0.9644642857142857,0.9323525129045759,0.9644642857142857,0.4149230297515882,0.07903650692420326
8x8,8,0,805007,1.8,300,700,44800,0.043765625,-1.8587709263392858,3.4806334577287945,0.9557268415178571,0.9172431291852678,0.9557268415178571,0.5057600222140882,0.136154083113552
8x8,8,0,805008,1.9,300,700,44800,0.051,-1.8301632254464286,3.3756526402064733,0.9478292410714285,0.9019914899553572,0.9478292410714285,0.4636934458503854,0.12164108548436117
8x8,8,0,805009,2.0,300,700,44800,0.078875,-1.7186537388392857,3.0042497035435267,0.8995619419642857,0.821669442313058,0.8995619419642857,0.8076644722763362,0.3986481562400357
8x8,8,0,805010,2.1,300,700,44800,0.11234375,-1.643881138392857,2.772928466796875,0.852509765625,0.7555250331333705,0.852509765625,1.0243376998904958,0.8762554711581857
8x8,8,0,805011,2.2,300,700,44800,0.13509375,-1.5691127232142856,2.5516531808035716,-0.36320382254464284,0.7093798610142299,0.36320382254464284,1.1839794069503506,16.798919107001876
8x8,8,0,805012,2.3,300,700,44800,0.173625,-1.5528878348214286,2.483811732700893,0.8262465122767857,0.704896218436105,0.8262465122767857,0.8753252798730707,0.6180986264084131
8x8,8,0,805013,2.4,300,700,44800,0.211109375,-1.3984068080357144,2.0566024344308036,0.3518833705357143,0.5865059552873884,0.3518833705357143,1.12289815189076,12.338241302075028
8x8,8,0,805014,2.5,300,700,44800,0.27421875,-1.2247586495535714,1.6025698416573662,0.3566273716517857,0.43545599801199775,0.3566273716517857,1.0499695820910415,7.891786644498863
8x8,8,0,805015,2.6,300,700,44800,0.30978125,-1.1680217633928571,1.4733213588169642,-0.21499093191964286,0.40740990774972097,0.21499093191964286,1.0323930798353103,8.890801401650325
8x8,8,0,805016,2.7,300,700,44800,0.33515625,-1.140576171875,1.4036827741350446,0.24163295200892856,0.3774720764160156,0.24163295200892856,0.9022224003161805,7.563510350683648
8x8,8,0,805017,2.8,300,700,44800,0.386515625,-0.968017578125,1.0262401471819196,0.00020089285714285714,0.2525523158482143,0.00020089285714285714,0.7280172703912581,5.772623439777698
8x8,8,0,805018,3.0,300,700,44800,0.450421875,-0.8591057477678572,0.8037968226841518,0.04537248883928571,0.17785932268415178,0.04537248883928571,0.4674427508364995,3.750414078734521
8x8,8,0,805019,3.25,300,700,44800,0.505203125,-0.7400153459821428,0.6009951346261161,0.08711007254464286,0.11724868774414063,0.08711007254464286,0.32339266552150664,2.1594687607218743
8x8,8,0,805020,3.5,300,700,44800,0.54053125,-0.6841322544642857,0.5168661063058035,-0.014304547991071429,0.10271608625139508,0.014304547991071429,0.25510747275711937,1.8744953811778964
8x8,8,0,805021,4.0,300,700,44800,0.608875,-0.5554868861607143,0.34919302804129465,0.016618303571428572,0.06155988420758929,0.016618303571428572,0.16250938937907322,0.9805394591039541
8x8,8,0,805022,4.5,300,700,44800,0.650921875,-0.4954896763392857,0.28693891252790177,0.021602957589285713,0.05504490443638393,0.021602957589285713,0.1309357611270058,0.7762235258279744
8x8,8,0,805023,5.0,300,700,44800,0.694609375,-0.42702985491071427,0.21999398367745535,-0.0033872767857142856,0.042075151715959824,0.0033872767857142856,0.09635708593251756,0.5384150793207908
8x8,8,1,806000,0.25,300,700,44800,0.0,-2.0,4.0,1.0,1.0,1.0,0.0,0.0
8x8,8,1,806001,0.5,300,700,44800,0.0,-2.0,4.0,1.0,1.0,1.0,0.0,0.0
8x8,8,1,806002,0.75,300,700,44800,0.0,-2.0,4.0,1.0,1.0,1.0,0.0,0.0
8x8,8,1,806003,1.0,300,700,44800,0.0008125,-1.99478515625,3.9799515206473215,0.9985853794642857,0.9972369384765625,0.9985853794642857,0.050156867326990096,0.0041074173907844624
8x8,8,1,806004,1.25,300,700,44800,0.00425,-1.9859040178571428,3.9456590053013394,0.9963504464285714,0.9928432355608259,0.9963504464285714,0.07553995408165065,0.006606001275514473
8x8,8,1,806005,1.5,300,700,44800,0.0163125,-1.9531096540178572,3.821552472795759,0.9867829241071429,0.974396013532366,0.9867829241071429,0.1966976619521448,0.02796690017803864
8x8,8,1,806006,1.75,300,700,44800,0.032578125,-1.8916852678571427,3.5940237862723214,0.9690366908482143,0.9406147766113281,0.9690366908482143,0.3249765071845178,0.05788044438931804
8x8,8,1,806007,1.8,300,700,44800,0.043546875,-1.861654575892857,3.4873876953125,0.9576185825892857,0.919781973702567,0.9576185825892857,0.42725798261109116,0.09772885270237847
8x8,8,1,806008,1.9,300,700,44800,0.060984375,-1.7875013950892857,3.230264456612723,0.9285965401785714,0.8691378348214286,0.9285965401785714,0.6223285392413133,0.23061222365693892
8x8,8,1,806009,2.0,300,700,44800,0.073,-1.7600655691964286,3.140197317940848,0.9200578962053572,0.8543157305036272,0.9200578962053572,0.6778641611215974,0.24989434028158186
8x8,8,1,806010,2.1,300,700,44800,0.102859375,-1.6951116071428571,2.92458740234375,0.8943373325892857,0.8105363682338169,0.8943373325892857,0.742806953989083,0.32600697206547125
8x8,8,1,806011,2.2,300,700,44800,0.129453125,-1.6008510044642856,2.6229185267857145,0.8430831473214285,0.7332529558454242,0.8430831473214285,0.79596149806813,0.6534912741241783
8x8,8,1,806012,2.3,300,700,44800,0.1834375,-1.4691434151785714,2.2513119070870538,0.7636481584821428,0.6335313633510045,0.7636481584821428,1.1242892427916544,1.4016793988963197
8x8,8,1,806013,2.4,300,700,44800,0.22275,-1.3649428013392857,1.9843201555524554,0.3651611328125,0.5384866115025112,0.3651611328125,1.347236718050208,10.803838895616078
8x8,8,1,806014,2.5,300,700,44800,0.27803125,-1.2321735491071428,1.626677943638393,-0.17880161830357144,0.425981924874442,0.17880161830357144,1.1102851944355872,10.086704797861527
8x8,8,1,806015,2.6,300,700,44800,0.32396875,-1.0924944196428572,1.2883564104352678,-0.02279994419642857,0.33562351771763393,0.02279994419642857,0.8976317489655333,8.248705975686736
8x8,8,1,806016,2.7,300,700,44800,0.358890625,-1.0224846540178572,1.130965837751116,-0.02832728794642857,0.25775630405970984,0.02832728794642857,0.7505380086614991,6.090758371965865
8x8,8,1,806017,2.8,300,700,44800,0.39121875,-0.9835965401785715,1.049856654575893,0.08251674107142858,0.26372876848493304,0.08251674107142858,0.6726081691807089,5.872451564065917
8x8,8,1,806018,3.0,300,700,44800,0.448,-0.8296135602678572,0.747945295061384,0.11685895647321429,0.1659430149623326,0.11685895647321429,0.4244382981765295,3.248789317425579
8x8,8,1,806019,3.25,300,700,44800,0.503140625,-0.7323577008928571,0.5917217145647321,0.08040876116071428,0.12451773507254464,0.08040876116071428,0.3355200379162391,2.3247195805763714
8x8,8,1,806020,3.5,300,700,44800,0.545671875,-0.6800990513392857,0.5163404192243304,0.08950892857142857,0.10532191685267857,0.08950892857142857,0.28110732847926323,1.779384110787172
8x8,8,1,806021,4.0,300,700,44800,0.603828125,-0.5758342633928571,0.37670601981026786,0.012446986607142857,0.07200727190290178,0.012446986607142857,0.18048368365229384,1.1496375108368542
8x8,8,1,806022,4.5,300,700,44800,0.657421875,-0.4775571986607143,0.2668098667689732,0.022539760044642858,0.05301834106445313,0.022539760044642858,0.12246593983622103,0.7468131595602923
8x8,8,1,806023,5.0,300,700,44800,0.6909375,-0.43924386160714285,0.23016775948660714,0.0004715401785714286,0.04275665283203125,0.0004715401785714286,0.09531542918925381,0.5472823101682078
8x8,8,2,807000,0.25,300,700,44800,0.0,-2.0,4.0,1.0,1.0,1.0,0.0,0.0
8x8,8,2,807001,0.5,300,700,44800,0.0,-2.0,4.0,1.0,1.0,1.0,0.0,0.0
8x8,8,2,807002,0.75,300,700,44800,0.0,-2.0,4.0,1.0,1.0,1.0,0.0,0.0
8x8,8,2,807003,1.0,300,700,44800,0.00078125,-1.9968108258928572,3.9876419503348215,0.9992027064732143,0.9984303283691406,0.9992027064732143,0.02486245964206546,0.0015539037276255385
8x8,8,2,807004,1.25,300,700,44800,0.00440625,-1.9834333147321428,3.936365007672991,0.9955503627232143,0.9913059561593192,0.9955503627232143,0.0965547492825317,0.009494089778974058
8x8,8,2,807005,1.5,300,700,44800,0.01325,-1.9474790736607144,3.8004200090680804,0.9851429966517857,0.9712804521833147,0.9851429966517857,0.2203098089724133,0.03301240880018952
8x8,8,2,807006,1.75,300,700,44800,0.0355625,-1.8780636160714286,3.546719970703125,0.9634821428571428,0.9307501656668526,0.9634821428571428,0.4095378221314066,0.08968506741982603
8x8,8,2,807007,1.8,300,700,44800,0.036953125,-1.865142299107143,3.4995310756138394,0.9598897879464285,0.9237967354910714,0.9598897879464285,0.410375895213044,0.08562952843491128
8x8,8,2,807008,1.9,300,700,44800,0.057171875,-1.8195270647321429,3.3381055559430806,0.9426199776785714,0.8930004446847098,0.9426199776785714,0.4862371926925275,0.15050180601126179
8x8,8,2,807009,2.0,300,700,44800,0.073125,-1.7745619419642857,3.1860391671316965,0.9280866350446428,0.8666433497837611,0.9280866350446428,0.5915053002182304,0.16955352432873738
8x8,8,2,807010,2.1,300,700,44800,0.09753125,-1.6839090401785715,2.8976487513950895,0.8837332589285715,0.7980971854073661,0.8837332589285715,0.9012113676186392,0.5215302848259825
8x8,8,2,807011,2.2,300,700,44800,0.14025,-1.6132993861607143,2.6541954694475445,-0.8633942522321428,0.7573996407645089,0.8633942522321428,0.6804702156827366,0.3476365375129572
