cycle,E_per_spin,M_per_spin
1,-1.4375,0.84375
2,-1.625,0.90625
3,-1.625,0.90625
4,-1.1875,0.75
5,-1.3125,0.6875
6,-1.4375,0.71875
7,-1.4375,0.8125
8,-1.5625,0.875
9,-1.5,0.84375
10,-1.3125,0.78125
11,-1,0.59375
12,-1.1875,0.625
13,-1.3125,0.5625
14,-0.9375,0.46875
15,-0.75,0.25
16,-0.8125,0.4375
17,-1.1875,0.625
18,-1.5,0.875
19,-1.625,0.90625
20,-1.5,0.84375
21,-1.5,0.84375
22,-1.125,0.71875
23,-1.4375,0.84375
24,-1.1875,0.75
25,-1.375,0.8125
26,-1.1875,0.71875
27,-1.5,0.84375
28,-1.6875,0.90625
29,-1.6875,0.90625
30,-1.875,0.96875
31,-1.75,0.9375
32,-1.875,0.96875
33,-2,1
34,-1.875,0.96875
35,-1.6875,0.90625
36,-1.4375,0.84375
37,-1.4375,0.6875
38,-1.0625,0.65625
39,-1.3125,0.71875
40,-1.6875,0.90625
41,-1.5625,0.875
42,-1.125,0.71875
43,-1.125,0.5
44,-0.9375,0.1875
45,-1.0625,0.375
46,-1.3125,0.65625
47,-1.375,0.65625
48,-1.25,0.5625
49,-1.3125,0.46875
50,-1,0.40625
51,-1.125,0.28125
52,-0.6875,-0.0625
53,-1.0625,0.3125
54,-1.0625,0.25
55,-0.9375,0.09375
56,-1.125,0.1875
57,-1.25,0.0625
58,-1.1875,0.03125
59,-1.0625,0.21875
60,-1,0.375
61,-1,0.4375
62,-0.625,0.375
63,-0.875,0.34375
64,-0.5625,0.0625
65,-0.8125,-0.1875
66,-0.8125,0.03125
67,-1.1875,-0.34375
68,-1.25,-0.53125
69,-1.125,-0.4375
70,-0.8125,-0.40625
71,-0.625,-0.03125
72,-0.75,0.3125
73,-0.75,0.25
74,-1.25,0.625
75,-1.4375,0.8125
76,-1.1875,0.71875
77,-1.4375,0.8125
78,-1.375,0.625
79,-1.4375,0.71875
80,-1.625,0.78125
81,-1.4375,0.6875
82,-0.8125,0.40625
83,-0.875,0.40625
84,-1.0625,0.5
85,-1.0625,0.65625
86,-1.4375,0.84375
87,-1.3125,0.75
88,-1.0625,0.5625
89,-1.125,0.625
90,-1.1875,0.625
91,-0.875,0.21875
92,-1,0.21875
93,-1,0.15625
94,-1.25,0.125
95,-0.9375,0.125
96,-1.1875,-0.03125
97,-1.0625,-0.0625
98,-0.9375,0.125
99,-0.75,0.28125
100,-0.6875,0.09375
101,-0.875,-0.25
102,-1.25,-0.21875
103,-1.125,-0.375
104,-1,-0.40625
105,-1.25,-0.625
106,-1.25,-0.53125
107,-1.1875,-0.65625
108,-1.5,-0.78125
109,-1.375,-0.78125
110,-1.125,-0.625
111,-1.1875,-0.71875
112,-1.625,-0.875
113,-1.75,-0.9375
114,-1.875,-0.96875
115,-1.6875,-0.90625
116,-1.5625,-0.84375
117,-1.75,-0.9375
118,-1.75,-0.9375
119,-1.625,-0.90625
120,-1.5,-0.84375
121,-1.4375,-0.8125
122,-1.5,-0.84375
123,-1.25,-0.71875
124,-1.6875,-0.90625
125,-1.6875,-0.875
126,-1.6875,-0.90625
127,-1.6875,-0.90625
128,-1.875,-0.96875
129,-1.625,-0.90625
130,-1.8125,-0.9375
131,-2,-1
132,-1.875,-0.96875
133,-2,-1
134,-2,-1
135,-1.5625,-0.875
136,-1.75,-0.9375
137,-2,-1
138,-2,-1
139,-1.875,-0.96875
140,-1.625,-0.90625
141,-1.625,-0.90625
142,-2,-1
143,-1.75,-0.9375
144,-1.125,-0.6875
145,-1.1875,-0.5625
146,-0.9375,-0.46875
147,-1.0625,-0.5
148,-1,-0.4375
149,-0.9375,-0.5625
150,-1.4375,-0.84375
151,-1.3125,-0.8125
152,-1.25,-0.5625
153,-1.375,-0.625
154,-1.4375,-0.78125
155,-1.0625,-0.53125
156,-1.125,-0.5625
157,-1.75,-0.9375
158,-1.875,-0.96875
159,-1.875,-0.96875
160,-1.6875,-0.90625
161,-1.75,-0.9375
162,-1.625,-0.90625
163,-1.625,-0.90625
164,-1.75,-0.9375
165,-1.875,-0.96875
166,-2,-1
167,-1.375,-0.78125
168,-1.4375,-0.75
169,-1.4375,-0.6875
170,-1.1875,-0.5625
171,-1.4375,-0.6875
172,-1.25,-0.625
173,-1.5625,-0.75
174,-1.4375,-0.8125
175,-1.375,-0.8125
176,-1.6875,-0.90625
177,-0.875,-0.625
178,-0.625,-0.375
179,-0.375,-0.3125
180,-0.375,-0.25
181,-0.5,-0.4375
182,-0.8125,-0.625
183,-0.75,-0.15625
184,-0.875,-0.25
185,-0.8125,-0.34375
186,-0.9375,-0.21875
187,-0.9375,-0.25
188,-0.9375,-0.40625
189,-0.875,-0.4375
190,-0.875,-0.53125
191,-1.125,-0.53125
192,-1.25,-0.65625
193,-1.4375,-0.78125
194,-1.4375,-0.8125
195,-1.125,-0.71875
196,-1.8125,-0.9375
197,-2,-1
198,-1.8125,-0.9375
199,-1.5,-0.78125
200,-1.75,-0.9375
201,-2,-1
202,-2,-1
203,-1.625,-0.90625
204,-1.375,-0.8125
205,-1.625,-0.90625
206,-2,-1
207,-1.875,-0.96875
208,-1.875,-0.96875
209,-2,-1
210,-1.4375,-0.84375
211,-1.625,-0.875
212,-1.625,-0.90625
213,-1.8125,-0.9375
214,-1.6875,-0.90625
215,-1.625,-0.875
216,-1.3125,-0.78125
217,-1.4375,-0.8125
218,-1.625,-0.875
219,-1.75,-0.90625
220,-2,-1
221,-2,-1
222,-1.875,-0.96875
223,-1.625,-0.875
224,-1.375,-0.8125
225,-1.375,-0.75
226,-1.3125,-0.6875
227,-1.125,-0.6875
228,-1.3125,-0.65625
229,-1.5625,-0.78125
230,-1.3125,-0.75
231,-1.375,-0.71875
232,-1.375,-0.8125
233,-1.125,-0.625
234,-1.125,-0.625
235,-1.4375,-0.8125
236,-1.4375,-0.75
237,-1.5625,-0.875
238,-1.3125,-0.65625
239,-1.1875,-0.5625
240,-1.1875,-0.6875
241,-1,-0.53125
242,-1.0625,-0.625
243,-1.125,-0.6875
244,-1.25,-0.75
245,-1.4375,-0.78125
246,-1.5,-0.8125
247,-1.5625,-0.84375
248,-1.875,-0.96875
249,-1.875,-0.96875
250,-1.375,-0.75
251,-1.125,-0.71875
252,-1.3125,-0.6875
253,-1.75,-0.90625
254,-1.625,-0.875
255,-1.75,-0.875
256,-1.6875,-0.90625
257,-1.75,-0.9375
258,-1.75,-0.9375
259,-1.8125,-0.9375
260,-1.875,-0.96875
261,-2,-1
262,-2,-1
263,-2,-1
264,-2,-1
265,-1.75,-0.9375
266,-1.5625,-0.875
267,-1.25,-0.8125
268,-1.375,-0.78125
269,-1.4375,-0.78125
270,-1.4375,-0.78125
271,-1.5,-0.84375
272,-1.625,-0.90625
