T,n_repeats,burn_in_cycles,production_cycles,E_per_spin_mean,E_per_spin_stderr,E2_per_spin2_mean,E2_per_spin2_stderr,M_per_spin_mean,M_per_spin_stderr,M2_per_spin2_mean,M2_per_spin2_stderr,abs_M_per_spin_mean,abs_M_per_spin_stderr,C_per_spin_mean,C_per_spin_stderr,chi_per_spin_mean,chi_per_spin_stderr,acceptance_rate_mean,acceptance_rate_stderr
0.25,3,100,300,-2.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,3,100,300,-2.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,3,100,300,-1.9998447163899742,6.164055564136446e-05,3.999380268653234,0.0002458955626185569,0.9999611790974935,1.541013891031047e-05,0.9999224458883207,3.077861145844088e-05,0.9999611790974935,1.541013891031047e-05,0.0024965233271898426,0.0011756750534560345,0.0001170245309872876,5.5109768032800075e-05,4.3945312500000005e-05,5.638186222554939e-06
1.0,3,100,300,-1.9971798578898114,0.00019895015656009904,3.988752606627014,0.0007919193795164175,0.9992851448059081,5.4978060143378336e-05,0.9985724488687184,0.00010967033856126141,0.9992851448059081,5.4978060143378336e-05,0.025746128811836872,0.002795875404983378,0.0016816064299973732,0.00021001491980616687,0.00077880859375,1.625568388300633e-05
1.25,3,100,300,-1.9849033186170788,0.00035093733602194,3.939977061218686,0.0013849517484842452,0.996036900414361,8.67604079648272e-05,0.9920996005046699,0.00017217083941443718,0.996036900414361,8.67604079648272e-05,0.08888690118813732,0.007054158842717163,0.008256276795873417,0.0006627047240059512,0.00385986328125,0.00010726454802563112
1.5,3,100,300,-1.953764313591851,0.0007074159524909766,3.8176075606048108,0.002756198051971784,0.9873042954338921,0.00021342930006563107,0.974805910963979,0.0004212313646194512,0.9873042954338921,0.00021342930006563107,0.1873085622563748,0.003545431343769117,0.02460882099719836,0.00033479927353551736,0.013029785156250001,0.00025315785763825827
1.75,3,100,300,-1.8797484885321722,0.002530531723934276,3.534589925557375,0.009475011131991399,0.9642245165506997,0.0007403650229464643,0.9298634065811834,0.001426740398645374,0.9642245165506997,0.0007403650229464643,0.3754070055378315,0.015885657381962483,0.07805336606311573,0.0013016916915432077,0.03464925130208333,0.00045431662950527984
1.8,3,100,300,-1.8586493301391602,0.003897965135470886,3.455872962358925,0.014508652983173,0.9567566511366103,0.0013889002085690327,0.9155620401766565,0.002653827884145615,0.9567566511366103,0.0013889002085690327,0.39987884808903423,0.004908649275679725,0.09949445400825087,0.0025031231540988685,0.0413134765625,0.0008115769547291663
1.9,3,100,300,-1.8086101235283747,0.002625122817320447,3.2728991590109136,0.0095065824789733,0.9387356334262424,0.0010685221696736386,0.8815198655633463,0.0020055538755253473,0.9387356334262424,0.0010685221696736386,0.5147791365614287,0.02571618679148202,0.15790760147458635,0.0007474329858735304,0.05724365234375,0.0005087291562671049
2.0,3,100,300,-1.7474799558851455,0.0006745079105448715,3.0565713900162113,0.0027882158771607856,0.9121416600545248,0.0015893653987190445,0.8326810435619619,0.0027772320972307336,0.9121416600545248,0.0015893653987190445,0.7383766717489001,0.11297166003856579,0.34487469578056107,0.07439535905292552,0.07904052734374999,0.0007899335830872672
2.1,3,100,300,-1.661626336839464,0.002404392586914054,2.7650625987682074,0.007887838869736475,0.8715233018663194,0.002424482174915196,0.7609262326525318,0.004036175752350389,0.8715233018663194,0.002424482174915196,0.9401651158780293,0.036433060939295644,0.6639473268672819,0.09084266487589637,0.10634765625000002,0.0015806598763359572
2.2,3,100,300,-1.5525125842624241,0.004891729570430299,2.416918958342738,0.015475232866952536,0.8007081582811143,0.006368432768089538,0.6454479116408361,0.009493574929616265,0.8007081582811143,0.006368432768089538,1.3912385614633962,0.1326145301606545,1.9703822108200448,0.5253770180444189,0.14603841145833332,0.0008071144483742848
2.3,3,100,300,-1.3997785653008357,0.0333542888398712,1.9671430393887892,0.09357406734345337,0.6426761711968316,0.0783043283377536,0.43184615309867597,0.09363521875961334,0.6426761711968316,0.0783043283377536,1.072004180222853,0.12303468440220143,2.9163325892355583,0.6215529312252664,0.2021866861979167,0.011229364254215142
