path,repeat,lattice,temperature,trial_moves,seconds,seconds_per_trial_move,final_energy,final_magnetisation,acceptance_rate
loop_full_recompute,0,25x25,1.0,300,0.069690584205091,0.00023230194735030334,-334.0,69.0,0.58
loop_full_recompute,1,25x25,1.0,300,0.06734445784240961,0.00022448152614136537,-266.0,55.0,0.5533333333333333
loop_full_recompute,2,25x25,1.0,300,0.06941237486898899,0.00023137458289662998,-310.0,-5.0,0.58
loop_full_recompute,3,25x25,1.0,300,0.06713904207572341,0.00022379680691907803,-326.0,31.0,0.5366666666666666
loop_full_recompute,4,25x25,1.0,300,0.06724233273416758,0.0002241411091138919,-318.0,-9.0,0.57
vectorised_full_recompute,0,25x25,1.0,2000,0.025359666906297207,1.2679833453148604e-05,-870.0,-125.0,0.3325
vectorised_full_recompute,1,25x25,1.0,2000,0.025202749762684107,1.2601374881342054e-05,-798.0,-29.0,0.301
vectorised_full_recompute,2,25x25,1.0,2000,0.02522408403456211,1.2612042017281055e-05,-782.0,-65.0,0.334
vectorised_full_recompute,3,25x25,1.0,2000,0.025107833091169596,1.2553916545584798e-05,-786.0,119.0,0.329
vectorised_full_recompute,4,25x25,1.0,2000,0.02546975016593933,1.2734875082969666e-05,-806.0,37.0,0.3445
local_delta_energy,0,25x25,1.0,2000,0.00783004192635417,3.915020963177085e-06,-838.0,-71.0,0.315
local_delta_energy,1,25x25,1.0,2000,0.007521916646510363,3.760958323255181e-06,-818.0,-51.0,0.3315
local_delta_energy,2,25x25,1.0,2000,0.007042374927550554,3.521187463775277e-06,-786.0,-183.0,0.3295
local_delta_energy,3,25x25,1.0,2000,0.007662042044103146,3.831021022051573e-06,-818.0,-79.0,0.3315
local_delta_energy,4,25x25,1.0,2000,0.007345125079154968,3.672562539577484e-06,-882.0,-223.0,0.3095
