L,T,E_per_spin_mean,E_per_spin_stderr,abs_M_per_spin_mean,abs_M_per_spin_stderr,acceptance_rate_mean
2,0.25,-2.0,0.0,1.0,0.0,0.0
2,0.5,-2.0,0.0,1.0,0.0,0.0
2,0.75,-2.0,0.0,1.0,0.0,0.0
2,1.0,-1.9777777777777779,0.018986674989594544,0.5322222222222223,0.23943586443766596,0.0075
2,1.25,-1.981111111111111,0.01645232543884543,0.9929166666666666,0.006468406123441687,0.009166666666666667
2,1.5,-1.9444444444444446,0.025754059969998362,0.21583333333333332,0.07525919717389537,0.02416666666666667
2,1.75,-1.9072222222222222,0.0222013791140979,0.18791666666666665,0.059171067911419156,0.04583333333333334
2,1.8,-1.8150000000000002,0.040046269535422445,0.3151388888888889,0.15987359976317092,0.08291666666666667
2,1.9,-1.8255555555555556,0.01841731606027862,0.4008333333333333,0.1473398377146445,0.07458333333333333
2,2.0,-1.7644444444444443,0.01587956214217388,0.2623611111111111,0.1760116810973523,0.1075
2,2.1,-1.7966666666666666,0.019220937657784643,0.14444444444444446,0.07842648618016684,0.11
2,2.2,-1.6883333333333332,0.050194067821251985,0.08166666666666668,0.0484678444377759,0.14291666666666666
2,2.3,-1.7183333333333335,0.028915585954829143,0.18458333333333332,0.035949424350204984,0.15291666666666667
2,2.4,-1.59,0.043853713048590905,0.09194444444444444,0.04143360746013426,0.18999999999999997
2,2.5,-1.568888888888889,0.02357677241546997,0.08083333333333333,0.025279685520195855,0.20958333333333334
2,2.6,-1.5761111111111112,0.027034500134658735,0.11263888888888889,0.02157611061759547,0.21437499999999998
2,2.7,-1.4877777777777776,0.029834936849105657,0.1486111111111111,0.010133179518813124,0.2629166666666667
2,2.8,-1.462777777777778,0.022655498337892994,0.10041666666666665,0.03465437816389043,0.26333333333333336
2,3.0,-1.4105555555555558,0.020734952896134973,0.13333333333333333,0.03713323733281027,0.29583333333333334
2,3.25,-1.278888888888889,0.03111111111111112,0.07944444444444444,0.03921564116963638,0.34062499999999996
2,3.5,-1.2061111111111111,0.04098705004760575,0.11388888888888889,0.039604770023849094,0.38562499999999994
2,4.0,-1.126111111111111,0.05841528634708857,0.10083333333333333,0.04714290724704729,0.4527083333333333
2,4.5,-0.9183333333333333,0.034007079872895314,0.09097222222222222,0.031384279405893015,0.5516666666666667
2,5.0,-0.7011111111111111,0.037097635610659,0.04222222222222222,0.022766341980223655,0.6085416666666666
4,0.25,-2.0,0.0,1.0,0.0,0.0
4,0.5,-2.0,0.0,1.0,0.0,0.0
4,0.75,-2.0,0.0,1.0,0.0,0.0
4,1.0,-1.9940972222222222,0.0015983540675672,0.9985243055555556,0.0003995885168917913,0.0014583333333333334
4,1.25,-1.9844444444444445,0.0024579311504033794,0.99609375,0.0006008424472455635,0.004375
4,1.5,-1.9373263888888888,0.01014864981536189,0.9815711805555555,0.003913313444039997,0.013958333333333335
4,1.75,-1.8829166666666666,0.01848694229964157,0.7260243055555556,0.24157264597387126,0.03718749999999999
4,1.8,-1.8636979166666665,0.013615815956272797,0.7735503472222223,0.19165001150305058,0.04114583333333333
4,1.9,-1.7799479166666667,0.013229986851215446,0.64875,0.24833198063401626,0.06286458333333333
4,2.0,-1.7306249999999999,0.0334010677908919,0.9126649305555556,0.011958318336429187,0.07770833333333334
4,2.1,-1.7013020833333332,0.015942123285482918,0.4253385416666666,0.24374553587213754,0.09182291666666666
4,2.2,-1.564340277777778,0.03731776386138637,0.581111111111111,0.12614734967367458,0.14104166666666668
4,2.3,-1.5046180555555555,0.019861202165680977,0.5278211805555556,0.22036751427507825,0.15260416666666668
4,2.4,-1.4925868055555558,0.04211522157727639,0.6300347222222222,0.1272215638937244,0.18041666666666667
4,2.5,-1.4654340277777778,0.04955217870925661,0.34697916666666667,0.1832773277973809,0.21161458333333336
4,2.6,-1.2420833333333332,0.04930169194564934,0.14282118055555557,0.06693019801532461,0.2615625
4,2.7,-1.2300694444444444,0.028979828985694893,0.12144097222222221,0.012681786627711206,0.2891666666666666
4,2.8,-1.180625,0.05117325547685568,0.12571180555555556,0.10504921846706011,0.31197916666666664
4,3.0,-0.9500173611111111,0.031733390010684544,0.085625,0.030801538335228505,0.4002604166666666
4,3.25,-0.8317881944444445,0.022581880921844513,0.08154513888888888,0.021977301570857595,0.45593749999999994
4,3.5,-0.7148611111111111,0.040274601018161174,0.10928819444444444,0.04389516450248734,0.5208854166666668
4,4.0,-0.6109027777777778,0.01830975078644937,0.04796006944444444,0.03131215005171801,0.5916666666666667
4,4.5,-0.5394791666666667,0.008433801915918146,0.08690972222222222,0.04066946999963386,0.6300520833333333
4,5.0,-0.43081597222222223,0.01904148273424011,0.031371527777777776,0.014525588905404285,0.6830729166666667
8,0.25,-2.0,0.0,1.0,0.0,0.0
8,0.5,-2.0,0.0,1.0,0.0,0.0
8,0.75,-1.99978515625,0.00015936455277049182,0.9999462890625,3.9841138192622954e-05,5.7291666666666666e-05
8,1.0,-1.9970184616815476,0.0005098652666175219,0.9992296781994049,0.0001430661247226883,0.0007604166666666666
8,1.25,-1.9845821707589286,0.0008339112606840588,0.9959129696800595,0.00027470044992114674,0.004286458333333334
8,1.5,-1.9536583891369048,0.0015564547798223578,0.9872322591145833,0.0005401449126699218,0.013463541666666667
8,1.75,-1.8838192894345236,0.002662796158585041,0.9659225027901784,0.0009517735079600659,0.033692708333333335
8,1.8,-1.8620821707589288,0.0010142609815185363,0.9582776460193453,0.0005931312901284322,0.04065625
8,1.9,-1.8103564453125,0.006115980795360132,0.9394524274553572,0.002618091964177117,0.058546875000000005
8,2.0,-1.7492613002232142,0.007995575628185836,0.9145868210565476,0.0040513360016270795,0.07748177083333332
8,2.1,-1.6774221075148812,0.009192905284901248,0.7551206752232144,0.12384871674710447,0.10324218749999999
8,2.2,-1.6031219773065475,0.009470250455917859,0.7737294224330356,0.08219346164237186,0.13062500000000002
