L,T,C_per_spin,C_per_spin_stderr,chi_per_spin,chi_per_spin_stderr,E_per_spin,M_per_spin,abs_M_per_spin
2,0.25,0.0,0.0,0.0,0.0,-2.0,1.0,1.0
2,0.5,0.0,0.0,0.0,0.0,-2.0,1.0,1.0
2,0.75,0.0,0.0,0.0,0.0,-2.0,1.0,1.0
2,1.0,0.1729185185185186,0.14714303185817884,2.3705439814814815,1.1891396810366728,-1.9777777777777779,0.5322222222222223,0.5322222222222223
2,1.25,0.09441185185185191,0.08197596692450279,0.01979388888888896,0.018805209491317892,-1.981111111111111,0.9929166666666666,0.9929166666666666
2,1.5,0.18968559670781895,0.08600649438458971,2.451123765432099,0.08068375256239686,-1.9444444444444446,0.11888888888888889,0.21583333333333332
2,1.75,0.22982796674225262,0.0520377608881658,2.1008988095238097,0.03613408626568174,-1.9072222222222222,-0.05402777777777778,0.18791666666666665
2,1.8,0.41332075903063553,0.08384648908208105,1.7167876800411523,0.234683728038411,-1.8150000000000002,-0.24763888888888888,0.3151388888888889
2,1.9,0.3545726890325227,0.035831449428487074,1.5232704678362576,0.26569564669350904,-1.8255555555555556,-0.2775,0.4008333333333333
2,2.0,0.4151203703703705,0.02426616513593912,1.5416072916666668,0.24546644112442717,-1.7644444444444443,-0.14652777777777776,0.2623611111111111
2,2.1,0.3327034517510708,0.02948837265677899,1.6815363756613755,0.05880707417780097,-1.7966666666666666,-0.09055555555555556,0.14444444444444446
2,2.2,0.4362190082644628,0.05948836595797514,1.5614021464646466,0.04878155667851097,-1.6883333333333332,-0.08166666666666668,0.08166666666666668
2,2.3,0.36806763285024147,0.030155873688790975,1.4726035628019325,0.0333709788822163,-1.7183333333333335,0.08875,0.18458333333333332
2,2.4,0.45775334362139913,0.038664693464377724,1.363289737654321,0.039870400028662725,-1.59,-0.0052777777777777745,0.09194444444444444
2,2.5,0.4406957037037036,0.014722486686839637,1.3015005555555557,0.02293362727423868,-1.568888888888889,-0.02111111111111111,0.08083333333333333
2,2.6,0.4089223098838482,0.018998507254626998,1.249454326923077,0.011426226987201695,-1.5761111111111112,-0.021527777777777774,0.11263888888888889
2,2.7,0.42936341004928114,0.020276965464341944,1.1350838477366254,0.02177001712782996,-1.4877777777777776,-0.039166666666666655,0.1486111111111111
2,2.8,0.40268093348450495,0.009840800287545701,1.0903979001322752,0.020793847890657503,-1.462777777777778,0.07680555555555556,0.10041666666666665
2,3.0,0.38495102880658433,0.005661216361537143,0.9829896604938272,0.018504396262708337,-1.4105555555555558,-0.017500000000000005,0.13333333333333333
2,3.25,0.3687076046460662,0.009157243397853645,0.8539166666666667,0.012210510154414593,-1.278888888888889,-0.07944444444444444,0.07944444444444444
2,3.5,0.33042811791383214,0.005321264593152392,0.7517498677248677,0.018719802633825333,-1.2061111111111111,-0.11388888888888889,0.11388888888888889
2,4.0,0.2659844907407407,0.007351721008258206,0.6291377314814816,0.031589006065315325,-1.126111111111111,-0.08305555555555555,0.10083333333333333
2,4.5,0.20980320073159578,0.0027701304311423015,0.482806121399177,0.013281483516146874,-0.9183333333333333,0.02680555555555555,0.09097222222222222
2,5.0,0.17193274074074072,0.004600213130387876,0.3749667592592593,0.01200854382497655,-0.7011111111111111,0.04222222222222222,0.04222222222222222
4,0.25,0.0,0.0,0.0,0.0,-2.0,1.0,1.0
4,0.5,0.0,0.0,0.0,0.0,-2.0,1.0,1.0
4,0.75,0.0,0.0,0.0,0.0,-2.0,1.0,1.0
4,1.0,0.04658298611110941,0.012525537571906959,0.0029114366319458185,0.000782846098243839,-1.9940972222222222,0.9985243055555556,0.9985243055555556
