source,observable,L,window_min,window_max,degree,raw_peak_T,raw_peak_value,fit_peak_T,fit_peak_value,coefficients
own,C,2,1.5,3.2,4,2.4,0.45775334362139913,2.548574287143572,0.4246768716929896,-0.122111231243 1.1784252148 -4.40430016393 7.57251358715 -4.62301268132
own,chi,2,1.5,3.2,4,1.5,2.451123765432099,1.5,2.4786529945753983,1.25597331178 -12.0840460597 43.1492655055 -68.4301365168 42.4633009432
own,C,4,1.7,2.9,4,2.2,0.8645331511134072,2.9,0.8369868422444693,0.884289917233 -7.03951580097 19.5995547517 -21.4061050516 7.22504120461
own,chi,4,1.7,2.9,4,2.1,4.124518068989748,2.6532766383191593,3.1426930596296074,2.66041049051 -30.2198152532 123.555497829 -216.195475348 139.572110675
own,C,8,1.9,2.8,4,2.4,1.1672682499975673,2.3965982991495745,1.118236199497801,10.0136691401 -95.5035601779 337.136516707 -521.700217538 299.304075705
own,chi,8,1.9,2.8,4,2.4,11.661105377980101,2.4902451225612805,9.265107035689653,112.969946554 -1111.32831787 4042.31568797 -6435.89922461 3786.1511391
own,C,16,2.0,2.65,4,2.2,1.3054256894984675,2.3131315657828915,1.3011402731770403,6.66646094234 -58.5987836676 186.778283625 -253.505888844 122.72304349
own,chi,16,2.0,2.65,4,2.5,13.961747651388029,2.5228614307153574,15.348411570103053,-982.901983942 8722.24041368 -28890.809867 42360.3069087 -23208.4536225
own,C,32,2.05,2.6,4,2.2,1.3912385614633962,2.192521260630315,1.3588343013561826,-191.191500742 1824.82448884 -6521.07946591 10339.0693223 -6134.52630923
own,chi,32,2.05,2.6,4,2.5,12.311175955342376,2.5001250625312657,13.246447971501766,-877.875095006 7582.5406796 -24364.1139803 34515.1738725 -18184.1780756
reference,C,2,1.5,3.2,4,2.48,0.42265131607700335,2.5239119559779892,0.41524808787809175,0.0313590382737 -0.247307976104 0.501557146853 0.177538285354 -0.524201664536
reference,chi,2,1.5,3.2,4,1.52,2.5687695443007303,1.5,2.584260315538172,0.0337950325468 -0.426918415273 2.25262516432 -6.17853098928 8.05341247901
reference,C,4,1.7,2.9,4,2.4,0.8222479373914935,2.449174587293647,0.8150101878792544,0.706789400722 -6.65397111638 22.3926024756 -31.4800296281 15.9179906648
reference,chi,4,1.7,2.9,4,1.76,8.489608839643997,1.7,8.412091169152717,-3.65308217749 35.4521940688 -126.357745199 190.931955551 -94.6640714459
reference,C,8,1.9,2.8,4,2.32,1.261676538085942,2.3587793896948472,1.1919099974586516,10.6798601472 -100.013219953 346.371860765 -525.302263513 295.057888967
reference,chi,8,1.9,2.8,4,1.94,26.72587293814433,2.0805402701350673,23.627746824218775,-460.797965667 4483.33616456 -16281.6659309 26128.6124501 -15602.9392363
reference,C,16,2.0,2.65,4,2.25,1.6049263202160624,2.3215857928964483,1.5251708286632493,87.1006642704 -808.735781766 2799.45796858 -4281.17173196 2441.53428778
reference,chi,16,2.0,2.65,4,2.08,93.77441488835261,2.294922461230615,49.74360371218063,5138.73308246 -46952.6919247 159900.045231 -240502.416245 134804.62036
reference,C,32,2.05,2.6,4,2.3,1.8970783428343936,2.297073536768384,1.7203141554145986,254.0878376 -2339.50169915 8046.66530763 -12252.8904157 6970.80626456
reference,chi,32,2.05,2.6,4,2.24,241.4248770694013,2.321285642821411,106.47892473079264,45401.9046039 -421003.787143 1459455.89392 -2241596.24091 1287075.75772
